SULF1,COL8A1,INHBA,FN1,COL10A1,THBS2,NTM,NOX4,RASAL2,ADAMTS12,CAPG,LTBP1,CTHRC1,FAP,WISP1,VCAN,TIMP1,MIR34AHG,SLPI,GPRC5A
11.21201101,10.23370944,10.67701276,12.7513,10.89002642,11.25906805,9.783504861,7.289329309,8.740666711,8.634539039,9.242920339,9.619243993,11.54364222,9.898371377,8.195366757,11.90753995,13.1881198,6.551417594,8.902910122,8.166810921
9.552897801,10.46650586,8.76008036,11.81303927,7.752068786,10.87790507,7.594783252,6.038845004,8.599097682,6.909461482,8.055925971,8.734676557,11.74275661,9.38668365,8.470311768,11.69078216,12.49395919,6.669419751,9.450704848,8.179467443
11.223985,10.17436341,11.06182326,13.51159354,11.07447341,11.5645014,9.540542626,8.245232966,9.170385779,9.278995957,9.795765853,9.44561572,11.86281994,9.875232743,8.818632967,11.99931178,12.59062273,7.134826831,10.84981288,11.10635477
9.272583219,9.79503486,8.41415754,11.54932229,8.315835449,9.702952242,7.508636219,7.141792368,8.730574094,6.480020178,7.903861508,9.755659057,10.10071605,8.543777229,7.21816271,11.314828,12.08598417,6.593059805,7.619247979,7.642115561
10.99616134,10.31573706,10.03477008,12.82903189,10.50798389,11.6362288,9.771270232,7.140713207,9.105101702,8.620739304,9.4902906,9.980284616,11.80551141,9.910837682,8.341897449,12.41042031,13.37308836,7.08195655,9.752613527,8.258024942
10.53567878,9.527072365,10.50625556,12.50484764,10.52399881,11.2203151,8.670252875,7.254194086,8.775302597,7.50139034,9.530985683,8.956351709,11.16397787,8.893009253,7.943324581,11.53491914,12.83995946,6.543796978,9.886128528,9.451308531
10.77812086,10.26212261,10.95038791,12.7141456,10.75211088,11.82888776,10.09964863,7.477538428,9.483184997,8.628181658,9.677038454,8.955669853,11.70241365,9.970639827,8.482101722,12.28641883,13.09399713,7.217666407,9.235978714,7.648791765
9.826726236,9.884602754,9.538632755,12.09696311,9.91853538,11.12539642,8.651220712,6.825493799,8.609259324,7.255889293,8.89979222,8.450212591,11.09400429,9.203383299,7.258528956,11.54381323,12.3528859,6.406072574,8.46507985,7.284107073
10.34535931,9.721769416,10.31213947,12.28492497,10.7815894,11.20406464,9.575147537,7.545528204,9.292754888,7.234443003,8.851982962,10.03139546,11.21120313,9.614640782,7.88168176,12.11660439,13.21220342,7.000957591,10.49712055,10.01469152
11.73583255,11.09572762,11.20716174,13.60413582,11.03353198,12.1026817,10.30979305,7.983576435,8.92879153,9.292083008,9.807613044,10.03456697,11.88288869,10.09933686,9.385575816,12.65005559,13.37520335,6.976859295,9.00224477,8.307030166
10.31852364,9.950795892,10.58165875,13.73582125,9.133393963,11.60621722,8.611239088,7.256735447,9.181053804,8.096545844,10.22314284,8.671495939,11.22344079,9.349019281,7.873433278,11.84820629,13.11813868,7.212219562,10.32572121,9.923909134
11.47026024,10.27010806,10.92802332,13.5502278,10.72651954,11.72278445,10.16545209,7.651723589,8.911724611,9.53279381,9.414262535,9.052765358,11.9043732,10.11778595,8.665329538,12.15151924,12.63300923,6.433388232,10.94017949,10.9914372
11.07537128,9.948908822,10.73901759,12.95973328,11.21529322,11.32935443,9.524299863,8.024124393,8.98401099,8.542767453,9.84170208,9.69223197,11.61448324,9.454548819,7.882877699,11.72343235,13.10546842,6.544933001,10.97649843,11.70835353
9.770524344,8.893429083,9.26277917,12.03989018,9.206393612,10.48688087,8.718895424,6.289188904,8.368168036,7.21415757,8.808669007,9.071454285,10.48702703,8.701598428,7.301286924,11.0889058,12.67250818,6.33851974,9.49263878,9.284013247
10.94771333,10.56942303,10.58745581,12.86345704,10.73187718,11.35475114,9.745701498,7.904263872,8.873942625,8.469117944,9.505315711,9.117864819,11.76225058,9.714440229,9.051904926,12.26543887,13.40082937,6.826472703,9.444770272,9.346992205
11.46903293,10.16493338,10.88070513,13.25444448,10.64660737,11.69230455,9.984099137,8.007952944,8.940575561,8.810929357,9.503337792,9.660930974,11.74209426,9.785660573,7.876833223,12.15589339,13.0917268,7.306158733,10.81183138,10.82845339
11.01735567,10.15578075,11.2280173,13.01929724,11.44884114,11.6480455,9.992275186,7.890369921,8.848514609,8.302690759,10.10641526,9.458623905,11.74184422,9.400668947,8.180294316,12.23478184,13.12980748,6.634634746,12.25452019,9.456218245
11.42031685,11.51296599,11.64039098,13.57204865,11.9508282,12.65926651,10.13935732,9.106909442,9.148683204,9.178270441,9.867084065,10.41970771,12.31858207,9.699435498,8.881343168,12.85286519,12.54516312,6.736486281,9.682215119,11.37664929
9.973214224,8.877548453,9.743562536,12.24901349,9.076213257,10.2689336,8.390014491,6.068128881,8.418442678,7.264788927,8.089414967,8.65245172,11.09357526,8.711904835,7.070050531,11.41755481,12.25259879,6.623985222,7.909343491,7.605752374
10.994108,10.4995053,11.40351676,12.98813357,11.84843977,11.82828728,10.31199974,7.822818895,8.911465533,8.800865426,9.230792669,10.24717951,11.65199213,9.307497666,7.952286913,12.22192955,12.89827376,6.969055279,9.711134016,10.43032324
10.951184,10.0421805,10.53771346,12.84689713,10.27685318,11.50307903,9.288060941,7.312825518,8.731305021,7.787945544,9.463598864,9.147002084,11.32812897,9.222516248,8.792565323,12.04748271,12.97452634,7.088474699,9.801858657,8.961617149
9.410078303,8.848905644,9.168614694,11.47598207,8.051457966,10.39954204,7.739748482,5.878438282,8.119387899,6.640582347,8.552158718,9.48402668,9.852538101,8.204815142,7.724285385,11.1732978,12.63670513,6.793648167,9.063968,8.326639202
12.20739704,11.2354786,11.54881223,13.76948271,11.80644454,12.29145833,9.777840952,8.288416959,8.783319864,9.340516112,10.08861515,9.473635603,12.41397379,10.39531003,8.798170129,12.96261158,12.84992372,7.584910297,10.04710525,9.314590488
11.12191072,10.81722678,11.36629309,13.23777844,11.91508789,11.92117703,10.54750245,7.871877666,9.181837197,8.712888535,9.352968123,10.41698309,11.82948066,9.506471642,8.323403155,12.77358913,13.39147112,7.201755837,10.78577281,9.169084494
10.56709588,9.883903862,9.169514863,12.58897029,9.081736535,11.2538766,8.93365385,6.818636489,8.295003244,7.717363712,9.25466052,9.474227313,11.41841127,9.7721058,9.294452684,12.33631639,13.3996345,7.363725763,7.652215983,9.151030803
11.34666357,11.36471919,10.9645759,13.25719814,11.18282943,11.97827579,9.518193342,7.963512469,8.811070535,8.631814094,9.586520499,9.148475759,12.04528436,10.27673289,9.072191331,12.82518105,13.10544613,7.057085072,8.902120324,9.079840775
10.46519847,9.555887766,10.12029156,12.59204545,9.724094972,11.20680461,8.908661675,5.497835989,8.388342654,7.787847323,8.243814594,9.673770331,11.26618985,9.061581958,7.557341279,11.90880247,12.59839109,7.094431719,9.38410532,8.798057386
